beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
208.0894,297.5671,-89.4777,-30.07,3.2793,175.8335,52.5732,17.9452,5.6513,1.0667,0.0667,84.6748,0.0,0.1348,0.0,0,9.4464,102.7164,54.6976,0.9186,0.9699,7,3,False,70
334.7277,297.5671,37.1606,12.49,-0.0673,179.3332,226.0452,18.7173,51.8661,0.365,-0.635,81.679,0.443,0.0,0.5568,11,9.6344,135.8147,44.619,1.2329,1.2828,5,3,False,71
275.4553,297.5671,-22.1118,-7.43,0.7881,182.2721,120.7158,17.9471,10.3735,1.1292,0.1292,80.3165,0.193,0.0,0.0,0,9.7923,115.4041,59.1217,0.9178,1.1902,7,1,False,72
359.5274,297.5671,61.9604,20.82,11.3968,194.6486,175.0525,19.2278,2.3426,0.9716,-0.0284,82.5004,0.0,0.0,0.0,0,10.4572,127.9619,48.2826,1.0082,1.1166,4,0,False,73
180.484,297.5671,-117.0831,-39.35,10.1077,175.5214,46.7373,18.1688,33.7137,0.59,-0.41,82.2285,0.2092,0.25,0.3336,6,9.4296,95.9132,60.6522,1.0751,0.9735,6,1,False,74
223.6494,297.5671,-73.9177,-24.84,21.7694,177.0658,71.1911,17.5052,28.8717,1.3561,0.3561,81.0723,0.0,0.0,0.0,0,9.5126,106.4965,54.1025,0.8354,0.8861,6,2,False,75
374.3761,297.5671,76.8091,25.81,13.4024,192.3028,195.4555,18.4838,8.3008,0.8976,-0.1024,81.0322,0.2092,0.0,0.0222,2,10.3311,131.7361,52.3292,1.0109,0.8629,2,2,False,76
217.2415,297.5671,-80.3256,-26.99,-9.2682,174.8787,95.6477,17.7086,26.3081,0.6794,-0.3206,82.0656,0.4021,0.1348,0.0,0,9.3951,108.8067,53.9778,0.9761,1.0693,8,2,False,77
240.0873,297.5671,-57.4798,-19.32,27.2582,186.7024,77.9154,18.0876,33.7011,0.59,-0.41,82.1979,0.0,0.4695,0.1602,4,10.0303,105.5284,55.9065,1.0591,0.8195,4,4,False,78
304.8613,297.5671,7.2942,2.45,-1.2042,187.9635,172.098,19.808,34.188,0.59,-0.41,83.3854,0.0,0.0,0.4704,10,10.098,124.3334,51.4703,1.2264,0.8215,5,2,False,79
224.8983,297.5671,-72.6688,-24.42,-0.9777,171.5156,105.4701,17.4303,33.6795,0.59,-0.41,82.145,0.4592,0.2092,0.9983,17,9.2144,110.2558,49.3952,1.2612,1.1448,5,5,False,80
305.1904,297.5671,7.6233,2.56,9.4284,180.7032,167.3878,18.168,34.161,0.59,-0.41,83.3196,0.4695,0.0,0.0391,1,9.708,126.6058,52.8557,1.0347,1.058,11,2,False,81
275.6958,297.5671,-21.8712,-7.35,15.4081,184.2199,129.8504,19.0053,34.7773,0.59,-0.41,84.8227,0.25,0.0,0.9475,16,9.8969,119.5977,58.4275,1.2979,1.1045,6,2,False,82
292.3448,297.5671,-5.2223,-1.75,14.8588,192.9571,137.9088,18.9232,34.4568,0.59,-0.41,84.0409,0.25,0.0,0.0006,1,10.3663,119.9793,42.5083,1.0367,0.8774,6,0,False,83
261.7652,297.5671,-35.8019,-12.03,28.8799,178.9411,105.6966,18.6305,33.1218,0.59,-0.41,80.785,0.2092,0.1348,0.1402,3,9.6133,109.639,56.7461,1.0839,1.1097,4,3,False,84
278.7799,297.5671,-18.7872,-6.31,24.4789,208.6747,96.4427,16.6892,34.1274,0.59,-0.41,83.2375,0.4364,0.4183,1.0164,16,11.2107,112.2987,51.4959,1.2071,1.1137,8,5,False,85
248.3234,297.5671,-49.2437,-16.55,9.3274,180.1757,82.2328,18.1319,5.2807,0.9362,-0.0638,82.7351,0.2092,0.0,0.0,0,9.6796,107.6905,61.0996,0.9327,1.0546,7,0,False,86
313.1313,297.5671,15.5642,5.23,9.142,201.0359,129.3243,17.8989,8.4719,1.1019,0.1019,83.136,0.25,0.0,0.0,0,10.8003,121.7212,50.7471,0.9351,1.201,6,2,False,87
329.3031,297.5671,31.7361,10.67,-1.8636,214.3157,142.2128,19.2803,6.0815,0.9261,-0.0739,82.2859,0.0,0.0,0.0,0,11.5138,118.484,54.7493,1.0304,1.0351,3,1,False,88
261.9191,297.5671,-35.648,-11.98,21.4776,187.4096,86.7113,15.6844,17.9951,1.2128,0.2128,84.5817,0.25,0.25,0.0,0,10.0683,119.1614,57.623,0.7214,1.1022,4,2,False,89
257.1653,297.5671,-40.4018,-13.58,22.6,181.2376,106.7076,18.9981,34.3819,0.59,-0.41,83.8582,0.0,0.25,0.332,7,9.7367,114.214,49.9775,1.118,1.0844,6,1,False,90
227.8549,297.5671,-69.7122,-23.43,14.4798,181.1582,57.8369,17.4255,8.1945,0.9005,-0.0995,82.3937,0.5,0.0,0.0,0,9.7324,101.5145,48.8714,0.9619,0.784,4,3,False,91
