beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
200.2201,297.5671,-97.347,-32.71,-3.6387,139.3588,134.5555,16.1174,53.938,0.365,-0.635,84.9417,0.9592,0.1156,2.4546,29,7.4868,121.3137,78.809,1.5761,0.4175,15,5,True,63
233.8562,297.5671,-63.7108,-21.41,56.6208,139.1513,64.3431,12.0566,14.2024,1.1651,0.1651,85.9975,1.5851,0.25,0.0228,1,7.4757,115.3816,54.987,0.6521,0.9788,20,5,True,64
202.8919,297.5671,-94.6752,-31.82,80.6517,162.7602,-22.9721,15.0082,2.5398,1.0285,0.0285,89.2436,0.7092,0.4773,0.0,0,8.744,87.5969,66.8172,0.8513,1.8732,9,8,True,65
135.8444,297.5671,-161.7226,-54.35,44.7842,175.0271,-10.9831,18.5584,54.4254,0.365,-0.635,85.7093,0.25,0.25,0.2939,7,9.403,90.907,79.9329,1.1934,1.2513,12,6,True,66
209.0972,297.5671,-88.4698,-29.73,39.1489,159.9341,61.3587,12.5015,38.8429,1.4715,0.4715,82.39,0.5,0.594,0.0,0,8.5922,117.4486,52.485,0.5004,0.8295,15,5,True,67
248.2633,297.5671,-49.3037,-16.57,31.3156,198.814,48.0123,16.1948,13.6838,0.8437,-0.1563,87.5707,0.6156,0.25,0.195,4,10.681,105.7412,42.9178,0.9631,1.0816,14,5,True,68
156.1349,297.5671,-141.4321,-47.53,-4.6552,192.003,-4.4294,16.8303,9.9532,0.8818,-0.1182,84.1878,0.693,0.0,0.0,0,10.315,86.8003,52.2891,0.9593,1.1185,11,5,True,69
159.1513,297.5671,-138.4157,-46.52,14.7288,168.2942,44.1618,15.2715,52.7621,0.365,-0.635,83.0899,0.7195,0.75,0.1197,3,9.0413,100.5897,42.8069,0.9386,2.003,15,6,True,70
235.8583,297.5671,-61.7087,-20.74,32.4188,138.9198,106.8728,12.6307,29.7224,1.3417,0.3417,86.9961,0.75,0.6348,0.0,0,7.4632,138.31,62.468,0.5866,1.0655,10,6,True,71
361.732,297.5671,64.1649,21.56,-1.6282,230.8205,192.0865,12.5433,47.0035,1.5741,0.5741,81.8792,1.1275,0.0,0.0,0,12.4004,174.9993,50.8931,0.544,0.6108,11,5,True,72
217.6664,297.5671,-79.9007,-26.85,-8.0961,199.693,56.7401,13.7526,16.9179,0.8046,-0.1954,86.5951,1.1683,0.3429,0.0,0,10.7282,106.0871,61.6365,0.7734,0.5821,16,5,True,73
179.6464,297.5671,-117.9207,-39.63,12.4122,221.1628,2.426,19.0994,37.2552,0.59,-0.41,90.8663,0.25,0.0,1.2428,17,11.8816,96.1079,45.9096,1.4563,1.3646,8,6,True,74
114.7012,297.5671,-182.8659,-61.45,0.0664,209.7336,-68.4244,17.354,9.3204,1.1006,0.1006,92.6355,0.25,0.1156,0.0,0,11.2676,80.2298,31.9201,0.936,0.9998,13,5,True,75
521.1987,297.5671,223.6316,75.15,93.642,232.6087,246.3522,16.0981,35.3061,0.59,-0.41,86.1124,0.594,0.4592,0.9437,16,12.4965,154.7239,50.7627,1.1571,1.3506,15,5,True,76
359.6307,297.5671,62.0636,20.86,67.9252,157.525,203.2815,14.3067,54.7944,0.365,-0.635,86.2904,1.2092,0.4592,5.926,47,8.4628,148.3463,47.6279,2.4407,1.4537,20,9,True,77
135.5827,297.5671,-161.9843,-54.44,51.4061,188.9648,-53.397,16.1018,35.2893,0.59,-0.41,86.0715,0.9773,0.1348,1.0631,17,10.1518,75.9623,51.4406,1.1821,1.7963,18,4,True,78
121.9895,297.5671,-175.5776,-59.0,-3.5266,183.3825,31.5012,13.0869,76.2807,1.9098,0.9098,83.8446,0.25,0.1156,0.0,0,9.8519,110.1092,31.4524,0.4126,1.4669,8,7,True,79
79.9477,297.5671,-217.6193,-73.13,9.5333,165.7193,-24.2792,15.6038,55.4218,0.365,-0.635,87.2785,1.0,0.25,4.6691,42,8.903,82.1221,40.2079,2.1253,0.5887,12,6,True,80
481.4624,297.5671,183.8953,61.8,84.9201,168.598,278.6509,17.2151,33.4916,0.6122,-0.3878,86.3734,0.5,0.193,0.0912,3,9.0576,164.4946,68.9465,1.0076,0.8006,13,4,True,81
354.9611,297.5671,57.394,19.29,40.9105,199.3529,166.6737,15.9105,36.0656,0.59,-0.41,87.9648,0.8278,0.2195,4.0667,40,10.7099,131.9238,60.5435,1.9331,0.6548,18,5,True,82
173.3845,297.5671,-124.1826,-41.73,16.8945,206.0379,5.4422,13.0436,41.9464,1.4756,0.4756,88.1958,0.75,0.2092,0.0,0,11.069,95.5616,56.4955,0.532,1.5731,21,5,True,83
204.6597,297.5671,-92.9074,-31.22,26.0056,211.033,22.1021,16.9789,37.5022,0.59,-0.41,91.4687,0.344,0.5,4.2743,40,11.3374,101.4958,46.3669,2.0166,1.5915,17,5,True,84
153.073,297.5671,-144.494,-48.56,30.4269,148.0919,46.3543,13.3695,58.4305,1.6836,0.6836,85.4763,1.0747,0.0,0.0,0,7.956,107.7962,50.2264,0.6457,0.6147,9,6,True,85
221.6591,297.5671,-75.9079,-25.51,-50.7542,239.071,83.3559,15.0088,35.0048,0.59,-0.41,85.3775,0.9592,0.4592,3.9588,41,12.8437,100.6352,67.9942,1.8864,2.1372,18,7,True,86
90.176,297.5671,-207.391,-69.7,43.365,148.8643,-34.6179,14.8681,52.5673,0.365,-0.635,82.7832,0.75,0.7092,3.1216,36,7.9975,77.1717,69.0019,1.7221,0.7127,14,9,True,87
434.5543,297.5671,136.9873,46.04,33.7027,162.3553,288.9336,16.5088,33.9284,0.59,-0.41,82.7521,0.443,0.4592,5.0312,41,8.7223,153.6914,39.0492,2.3435,0.9321,13,10,True,88
81.5855,297.5671,-215.9816,-72.58,-5.3049,185.4839,-19.3983,13.5829,65.6124,1.7343,0.7343,89.3504,0.25,0.2092,0.0,0,9.9648,85.6492,36.1533,0.4735,0.7199,7,2,True,89
243.8214,297.5671,-53.7456,-18.06,10.2393,202.0965,102.0521,16.0015,54.565,0.365,-0.635,85.9291,0.5,0.6864,5.6915,44,10.8573,109.929,57.0667,2.4409,1.2257,14,9,True,90
293.0955,297.5671,-4.4715,-1.5,69.8922,194.1731,80.9836,17.3222,34.6312,0.59,-0.41,84.4663,0.6521,0.0,4.9167,40,10.4316,105.6697,37.5365,2.3253,0.6082,13,7,True,91
249.7269,297.5671,-47.8401,-16.08,8.0757,172.7065,104.5267,14.2672,21.3148,0.7484,-0.2516,84.7241,1.4592,0.0,0.0,0,9.2784,121.3138,57.0362,0.7857,0.9843,17,1,True,92
89.0018,297.5671,-208.5653,-70.09,13.6288,198.2355,-66.9286,15.2189,40.7151,1.4225,0.4225,96.3773,0.4592,0.25,0.0,0,10.6499,79.7433,46.8281,0.7345,0.822,15,3,True,93
450.6817,297.5671,153.1146,51.46,9.3621,254.0792,238.5078,15.9038,35.3637,0.59,-0.41,86.2528,1.1456,0.0,0.944,16,13.65,156.1067,44.1639,1.1466,1.9456,19,3,True,94
447.8273,297.5671,150.2603,50.5,34.4672,235.9432,227.8053,14.8545,35.5339,0.59,-0.41,86.6681,1.3351,0.0,0.9298,17,12.6757,150.8986,60.7224,1.0859,0.7715,19,3,True,95
123.2606,297.5671,-174.3064,-58.58,21.079,175.0627,16.9667,12.8743,76.9734,1.8375,0.8375,91.9125,0.5,0.25,0.0,0,9.405,105.8809,62.2903,0.4455,1.1349,16,2,True,96
640.0125,297.5671,342.4455,115.08,30.6398,211.7939,447.2157,16.5148,33.1221,1.382,0.382,86.7029,0.2092,-0.0,0.0,0,11.3783,232.2581,49.4432,0.8257,0.9477,14,7,True,97
263.0031,297.5671,-34.564,-11.62,-19.3141,200.8978,151.0955,15.0874,54.5888,0.365,-0.635,85.9666,1.1703,0.4592,0.081,3,10.7929,134.2534,41.2895,0.9325,4.0458,15,6,True,98
307.5745,297.5671,10.0075,3.36,-11.2447,174.294,213.1296,14.131,54.4734,0.365,-0.635,85.7849,1.5,0.2092,1.4911,23,9.3637,149.3874,44.5381,1.3041,1.2237,15,9,True,99
108.6784,297.5671,-188.8886,-63.48,15.966,231.1774,-74.0733,12.7802,51.6115,1.6021,0.6021,85.7234,0.9183,0.5,0.0,0,12.4196,61.3806,71.5971,0.6167,1.1149,17,5,True,100
222.2344,297.5671,-75.3327,-25.32,-16.4263,225.9221,59.4809,14.27,32.4723,1.3717,0.3717,87.3559,0.5,0.4596,0.0,0,12.1373,113.9993,45.3178,0.7161,0.8849,18,8,True,101
386.4269,297.5671,88.8598,29.86,-2.1432,151.701,287.8401,15.7909,35.1801,0.59,-0.41,85.8051,0.4773,0.6156,0.5635,10,8.1499,169.8115,38.5486,1.0949,1.0049,17,9,True,102
