fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],energia_no_cargada [MWh],energia_no_operada [MWh],intervalos_soc_critico,soc_final [MWh],soc_final_desv [MWh],pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2026-02-04,186,normal,689.4223,650.4593,38.963,5.99,80.5317,175.4002,452.547,19.0566,0.0,0.25,3,0.7167,-0.2833,9.2411,120.3482,53.9125,1.0913,1.1794,4,3,False
2026-02-04,187,normal,677.8296,650.4593,27.3703,4.21,75.9347,193.2502,424.9402,16.2956,0.1851,0.25,0,1.3869,0.3869,10.1816,145.5877,59.8138,0.7913,1.2411,5,2,False
2026-02-04,188,normal,673.3189,650.4593,22.8596,3.51,75.6568,192.3466,422.2622,16.9467,0.5,0.1156,0,0.7932,-0.2068,10.134,128.4173,54.5874,0.9051,1.2173,6,1,False
2026-02-04,189,normal,590.15,650.4593,-60.3093,-9.27,78.8664,196.3711,332.5141,17.6016,0.0,0.25,0,1.1475,0.1475,10.346,106.4812,49.3145,0.9041,0.8952,7,1,False
2026-02-04,190,normal,613.8319,650.4593,-36.6274,-5.63,80.5342,183.3358,366.5628,16.601,0.408,0.25,0,0.8474,-0.1526,9.6592,117.3453,40.761,0.906,1.0446,8,2,False
2026-02-04,191,normal,624.8002,650.4593,-25.6592,-3.94,76.8625,191.3376,374.8096,18.2095,0.0,0.0,0,1.178,0.178,10.0808,115.5377,51.8319,0.925,0.9867,5,1,False
2026-02-04,192,normal,744.3693,650.4593,93.91,14.44,78.2909,190.6972,493.0279,17.6467,0.25,0.0,0,1.1289,0.1289,10.0471,148.4869,43.0162,0.916,1.0151,6,1,False
2026-02-04,193,normal,731.3491,650.4593,80.8897,12.44,78.6223,182.2775,489.4452,18.996,0.4912,0.0,13,0.7138,-0.2862,9.6035,122.3998,54.2749,1.1304,1.0818,6,0,False
2026-02-04,194,normal,609.858,650.4593,-40.6013,-6.24,77.4732,180.346,370.0541,18.0152,0.25,0.0,0,0.9972,-0.0028,9.5017,111.514,47.3208,0.9505,0.9422,2,0,False
2026-02-04,195,normal,769.4626,650.4593,119.0033,18.3,76.1307,185.9698,527.6405,20.2784,0.25,0.25,19,0.7164,-0.2836,9.798,117.654,53.1166,1.2644,1.1695,5,1,False
2026-02-04,196,normal,616.6688,650.4593,-33.7905,-5.19,81.4146,188.3562,363.5421,16.6441,0.25,0.25,0,1.2662,0.2662,9.9237,122.267,48.6957,0.8707,1.2024,7,4,False
